time,mode,v_cmd,v_meas,freq,step_len,A_hip_pitch,A_knee,A_ankle_pitch,pitch,roll,gyro_x,gyro_y,amp,state,fall
49.360,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.025,0.001,0.000,IDLE,1
49.368,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.023,0.001,0.000,IDLE,1
49.376,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.022,0.001,0.000,IDLE,1
49.384,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.021,0.001,0.000,IDLE,1
49.392,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.020,0.001,0.000,IDLE,1
49.400,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.019,0.001,0.000,IDLE,1
49.408,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.018,0.001,0.000,IDLE,1
49.416,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.017,0.001,0.000,IDLE,1
49.424,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.016,0.001,0.000,IDLE,1
49.432,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.015,0.000,0.000,IDLE,1
49.440,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.015,0.000,0.000,IDLE,1
49.448,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.014,0.000,0.000,IDLE,1
49.456,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.013,0.000,0.000,IDLE,1
49.464,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.012,0.000,0.000,IDLE,1
49.472,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.012,0.000,0.000,IDLE,1
49.480,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.011,0.000,0.000,IDLE,1
49.488,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.010,0.000,0.000,IDLE,1
49.496,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.010,0.000,0.000,IDLE,1
49.504,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.009,0.000,0.000,IDLE,1
49.512,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.009,0.000,0.000,IDLE,1
49.520,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.008,0.000,0.000,IDLE,1
49.528,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.008,0.000,0.000,IDLE,1
49.536,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.007,0.000,0.000,IDLE,1
49.544,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.007,0.000,0.000,IDLE,1
49.552,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.006,0.000,0.000,IDLE,1
49.560,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.006,0.000,0.000,IDLE,1
49.568,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.006,0.000,0.000,IDLE,1
49.576,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.005,0.000,0.000,IDLE,1
49.584,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.005,0.000,0.000,IDLE,1
49.592,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.005,0.000,0.000,IDLE,1
49.600,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.004,0.000,0.000,IDLE,1
49.608,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.004,0.000,0.000,IDLE,1
49.616,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.004,0.000,0.000,IDLE,1
49.624,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.004,0.000,0.000,IDLE,1
49.632,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.003,0.000,0.000,IDLE,1
49.640,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.003,0.000,0.000,IDLE,1
49.648,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.003,0.000,0.000,IDLE,1
49.656,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.003,0.000,0.000,IDLE,1
49.664,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.003,0.000,0.000,IDLE,1
49.672,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.003,0.000,0.000,IDLE,1
49.680,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.002,0.000,0.000,IDLE,1
49.688,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.002,0.000,0.000,IDLE,1
49.696,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.002,0.000,0.000,IDLE,1
49.704,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.002,0.000,0.000,IDLE,1
49.712,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.002,0.000,0.000,IDLE,1
49.720,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.002,0.000,0.000,IDLE,1
49.728,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.002,0.000,0.000,IDLE,1
49.736,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.002,0.000,0.000,IDLE,1
49.744,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.001,0.000,0.000,IDLE,1
49.752,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.001,0.000,0.000,IDLE,1
49.760,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.001,0.000,0.000,IDLE,1
49.768,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.001,0.000,0.000,IDLE,1
49.776,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.001,0.000,0.000,IDLE,1
49.784,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.001,0.000,0.000,IDLE,1
49.792,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.001,0.000,0.000,IDLE,1
49.800,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.001,0.000,0.000,IDLE,1
49.808,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.001,0.000,0.000,IDLE,1
49.816,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.001,0.000,0.000,IDLE,1
49.824,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.001,0.000,0.000,IDLE,1
49.832,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.001,0.000,0.000,IDLE,1
49.840,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.001,0.000,0.000,IDLE,1
49.848,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.001,0.000,0.000,IDLE,1
49.856,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.001,0.000,0.000,IDLE,1
49.864,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.001,0.000,0.000,IDLE,1
49.872,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.001,0.000,0.000,IDLE,1
49.880,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.000,0.000,0.000,IDLE,1
49.888,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.000,0.000,0.000,IDLE,1
49.896,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.000,0.000,0.000,IDLE,1
49.904,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.000,0.000,0.000,IDLE,1
49.912,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.000,0.000,0.000,IDLE,1
49.920,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.000,0.000,0.000,IDLE,1
49.928,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.000,0.000,0.000,IDLE,1
49.936,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.000,0.000,0.000,IDLE,1
49.944,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.000,0.000,0.000,IDLE,1
49.952,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.000,0.000,0.000,IDLE,1
49.960,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.000,0.000,0.000,IDLE,1
49.968,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.000,0.000,0.000,IDLE,1
49.976,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.000,0.000,0.000,IDLE,1
49.984,MANUAL,0.000,0.000,0.600,0.050,0.200,0.350,0.150,-0.001,3.142,0.000,0.000,0.000,IDLE,1
